,,,Trigger SOV_GunStart Applied Dither
Time,Time,Shot,Value (Seconds)
1660307091.620801,12:24:51.620801,7293,0.98500000
1660307104.082801,12:25:04.082801,7291,1.00000000
1660307116.042801,12:25:16.042801,7289,0.52600000
1660307128.508801,12:25:28.508801,7287,0.63200000
1660307140.759801,12:25:40.759801,7285,0.32600000
1660307153.506801,12:25:53.506801,7283,0.83200000
1660307166.163801,12:26:06.163801,7281,0.95000000
1660307178.378801,12:26:18.378801,7279,0.66400000
1660307190.422801,12:26:30.422801,7277,0.38700000
1660307203.199801,12:26:43.199801,7275,0.75600000
1660307215.820801,12:26:55.820801,7273,0.92600000
1660307227.726801,12:27:07.726801,7271,0.48100000
1660307240.083801,12:27:20.083801,7269,0.46000000
1660307252.372801,12:27:32.372801,7267,0.41500000
1660307265.465801,12:27:45.465801,7265,0.96600000
1660307277.655801,12:27:57.655801,7263,0.77300000
1660307290.032801,12:28:10.032801,7261,0.57600000
1660307302.980801,12:28:22.980801,7259,0.98100000
1660307314.930801,12:28:34.930801,7257,0.54700000
1660307327.258801,12:28:47.258801,7255,0.56100000
1660307339.949801,12:28:59.949801,7253,0.84600000
1660307351.733801,12:29:11.733801,7251,0.46200000
1660307364.778801,12:29:24.778801,7249,0.80200000
1660307377.430801,12:29:37.430801,7247,0.99800000
1660307389.481801,12:29:49.481801,7245,0.66500000
1660307402.124801,12:30:02.124801,7243,0.92100000
1660307414.473801,12:30:14.473801,7241,0.92400000
1660307426.813801,12:30:26.813801,7239,0.86100000
1660307438.972801,12:30:38.972801,7237,0.66900000
1660307451.207801,12:30:51.207801,7235,0.47600000
1660307463.736801,12:31:03.736801,7233,0.52600000
1660307476.579801,12:31:16.579801,7231,0.90300000
1660307488.662801,12:31:28.662801,7229,0.64100000
1660307501.054801,12:31:41.054801,7227,0.69500000
1660307513.473801,12:31:53.473801,7225,0.66100000
1660307525.869801,12:32:05.869801,7223,0.82800000
1660307538.034801,12:32:18.034801,7221,0.41400000
1660307550.795801,12:32:30.795801,7219,0.90600000
1660307563.042801,12:32:43.042801,7217,0.58200000
1660307575.685801,12:32:55.685801,7215,0.84900000
1660307588.344801,12:33:08.344801,7213,0.95200000
1660307600.509801,12:33:20.509801,7211,0.70100000
1660307613.246801,12:33:33.246801,7209,0.93000000
1660307625.482801,12:33:45.482801,7207,0.59900000
1660307638.378801,12:33:58.378801,7205,0.91000000
1660307650.173801,12:34:10.173801,7203,0.43100000
1660307663.212801,12:34:23.212801,7201,0.99100000
1660307675.189801,12:34:35.189801,7199,0.60800000
1660307687.987801,12:34:47.987801,7197,0.85100000
1660307700.587801,12:35:00.587801,7195,0.85600000
1660307713.051801,12:35:13.051801,7193,0.95700000
1660307725.482801,12:35:25.482801,7191,0.78700000
1660307737.778801,12:35:37.778801,7189,0.66300000
1660307750.625801,12:35:50.625801,7187,1.00000000
1660307762.860801,12:36:02.860801,7185,0.74400000
1660307775.324801,12:36:15.324801,7183,0.84700000
1660307787.820801,12:36:27.820801,7181,0.86000000
1660307799.965801,12:36:39.965801,7179,0.65200000
1660307812.273801,12:36:52.273801,7177,0.24100000
1660307825.132801,12:37:05.132801,7175,0.74900000
1660307837.244801,12:37:17.244801,7173,0.40900000
1660307850.070801,12:37:30.070801,7171,0.69500000
1660307862.442801,12:37:42.442801,7169,0.59800000
1660307874.818801,12:37:54.818801,7167,0.58100000
1660307887.697801,12:38:07.697801,7165,0.92200000
1660307899.627801,12:38:19.627801,7163,0.49000000
1660307912.654801,12:38:32.654801,7161,0.95200000
1660307924.410801,12:38:44.410801,7159,0.61600000
1660307936.945801,12:38:56.945801,7157,0.82100000
1660307949.525801,12:39:09.525801,7155,0.96400000
1660307961.876801,12:39:21.876801,7153,0.84300000
1660307974.352801,12:39:34.352801,7151,0.92300000
