,,,Trigger SFT_GunStart Applied Dither
Time,Time,Shot,Value (Seconds)
1660362780.235811,03:53:00.235811,6154,0.94500000
1660362791.510811,03:53:11.510811,6156,0.48800000
1660362803.211812,03:53:23.211812,6158,0.86700000
1660362814.721809,03:53:34.721809,6160,0.50500000
1660362826.727806,03:53:46.727806,6162,0.77000000
1660362838.435809,03:53:58.435809,6164,0.97000000
1660362849.756806,03:54:09.756806,6166,0.85600000
1660362860.946810,03:54:20.946810,6168,0.57300000
1660362872.154808,03:54:32.154808,6170,0.10700000
1660362884.037811,03:54:44.037811,6172,0.45000000
1660362895.771808,03:54:55.771808,6174,0.73900000
1660362907.323811,03:55:07.323811,6176,0.92100000
1660362919.236807,03:55:19.236807,6178,0.87500000
1660362930.590811,03:55:30.590811,6180,0.89900000
1660362942.254807,03:55:42.254807,6182,0.93900000
1660362953.810811,03:55:53.810811,6184,0.91100000
1660362965.063809,03:56:05.063809,6186,0.64400000
1660362976.651808,03:56:16.651808,6188,0.88000000
1660362988.563808,03:56:28.563808,6190,0.98700000
1660362999.776808,03:56:39.776808,6192,0.86700000
1660363010.810811,03:56:50.810811,6194,0.51600000
1660363021.899809,03:57:01.899809,6196,0.13500000
1660363034.202811,03:57:14.202811,6198,0.73000000
1660363045.505809,03:57:25.505809,6200,0.27700000
1660363057.227811,03:57:37.227811,6202,0.58800000
1660363069.299806,03:57:49.299806,6204,0.99400000
1660363080.788810,03:58:00.788810,6206,0.70300000
1660363091.767809,03:58:11.767809,6208,0.34500000
1660363104.267809,03:58:24.267809,6210,0.94900000
1660363115.596807,03:58:35.596807,6212,0.74600000
1660363127.515809,03:58:47.515809,6214,0.88100000
1660363138.555808,03:58:58.555808,6216,0.41300000
1660363150.657810,03:59:10.657810,6218,0.85600000
1660363162.127807,03:59:22.127807,6220,0.73200000
1660363173.965809,03:59:33.965809,6222,0.94300000
1660363185.498807,03:59:45.498807,6224,0.96800000
1660363196.536810,03:59:56.536810,6226,0.48500000
1660363208.718807,04:00:08.718807,6228,0.86100000
1660363220.211809,04:00:20.211809,6230,0.89200000
1660363231.749807,04:00:31.749807,6232,0.84200000
1660363243.217810,04:00:43.217810,6234,0.74500000
1660363254.982808,04:00:54.982808,6236,0.94800000
1660363266.196811,04:01:06.196811,6238,0.55600000
1660363278.153807,04:01:18.153807,6240,0.96600000
1660363289.648810,04:01:29.648810,6242,0.82300000
1660363301.409807,04:01:41.409807,6244,0.94700000
1660363312.515811,04:01:52.515811,6246,0.70300000
1660363323.758809,04:02:03.758809,6248,0.33200000
1660363335.557812,04:02:15.557812,6250,0.39700000
1660363346.558809,04:02:26.558809,6252,0.15600000
1660363358.662812,04:02:38.662812,6254,0.34600000
1660363370.427808,04:02:50.427808,6256,0.46300000
1660363382.493810,04:03:02.493810,6258,0.84700000
1660363393.695808,04:03:13.695808,6260,0.70300000
1660363405.663810,04:03:25.663810,6262,0.93600000
1660363416.979807,04:03:36.979807,6264,0.89600000
1660363428.558811,04:03:48.558811,6266,0.86400000
1660363439.736808,04:03:59.736808,6268,0.38800000
1660363451.955810,04:04:11.955810,6270,0.79700000
1660363463.341807,04:04:23.341807,6272,0.83300000
1660363474.496811,04:04:34.496811,6274,0.42000000
1660363486.424807,04:04:46.424807,6276,0.93800000
1660363497.702812,04:04:57.702812,6278,0.61200000
1660363509.782808,04:05:09.782808,6280,0.94300000
1660363521.171810,04:05:21.171810,6282,0.79200000
1660363533.082806,04:05:33.082806,6284,0.99900000
1660363544.069812,04:05:44.069812,6286,0.57300000
1660363555.824808,04:05:55.824808,6288,0.59800000
1660363567.219812,04:06:07.219812,6290,0.43800000
1660363578.632809,04:06:18.632809,6292,0.13500000
1660363590.481811,04:06:30.481811,6294,0.47100000
1660363602.102808,04:06:42.102808,6296,0.68900000
1660363613.754810,04:06:53.754810,6298,0.58900000
1660363624.982809,04:07:04.982809,6300,0.44000000
1660363637.097812,04:07:17.097812,6302,0.70000000
1660363648.393808,04:07:28.393808,6304,0.61400000
1660363660.106812,04:07:40.106812,6306,0.72900000
1660363671.311809,04:07:51.311809,6308,0.32000000
1660363683.518809,04:08:03.518809,6310,0.92500000
